1976,georgia,63.7
1977,georgia,64.2
1978,georgia,64.0
1979,georgia,64.8
1980,georgia,64.5
1981,georgia,64.5
1982,georgia,64.8
1983,georgia,65.1
1984,georgia,65.0
1985,georgia,65.9
1986,georgia,66.2
1987,georgia,67.2
1988,georgia,67.7
1989,georgia,68.1
1990,georgia,67.4
1991,georgia,67.1
1992,georgia,66.4
1993,georgia,67.0
1994,georgia,67.8
1995,georgia,67.5
1996,georgia,67.5
1997,georgia,68.7
1998,georgia,69.0
1999,georgia,69.2
2000,georgia,69.1
2001,georgia,68.9
2002,georgia,68.3
2003,georgia,68.3
2004,georgia,67.8
2005,georgia,67.9
2006,georgia,68.0
2007,georgia,68.3
2008,georgia,68.1
2009,georgia,65.9
2010,georgia,64.9
2011,georgia,64.2
2012,georgia,64.1
2013,georgia,63.4
2014,georgia,62.3
2015,georgia,61.4
2016,georgia,60.7
2017,georgia,63.8
2018,georgia,63.7
2019,georgia,62.9
2020,georgia,63.1
2021,georgia,61.9
2022,georgia,61.6
2023,georgia,61.5
2024,georgia,61.4
