year,state,population
1929,West Virginia,1717000
1930,West Virginia,1733000
1931,West Virginia,1740000
1932,West Virginia,1747000
1933,West Virginia,1752000
1934,West Virginia,1771000
1935,West Virginia,1794000
1936,West Virginia,1808000
1937,West Virginia,1813000
1938,West Virginia,1828000
1939,West Virginia,1868000
1940,West Virginia,1907000
1941,West Virginia,1885000
1942,West Virginia,1831000
1943,West Virginia,1741000
1944,West Virginia,1706000
1945,West Virginia,1708000
1946,West Virginia,1826000
1947,West Virginia,1883000
1948,West Virginia,1899000
1949,West Virginia,1930000
1950,West Virginia,2006000
1951,West Virginia,1984000
1952,West Virginia,1957000
1953,West Virginia,1929000
1954,West Virginia,1905000
1955,West Virginia,1880000
1956,West Virginia,1857000
1957,West Virginia,1843000
1958,West Virginia,1845000
1959,West Virginia,1855000
1960,West Virginia,1853000
1961,West Virginia,1828000
1962,West Virginia,1809000
1963,West Virginia,1796000
1964,West Virginia,1797000
1965,West Virginia,1786000
1966,West Virginia,1775000
1967,West Virginia,1769000
1968,West Virginia,1763000
1969,West Virginia,1746000
1970,West Virginia,1744237
1971,West Virginia,1770657
1972,West Virginia,1797648
1973,West Virginia,1806360
1974,West Virginia,1815447
1975,West Virginia,1842250
1976,West Virginia,1879503
1977,West Virginia,1908088
1978,West Virginia,1923395
1979,West Virginia,1942146
1980,West Virginia,1951349
1981,West Virginia,1954124
1982,West Virginia,1949604
1983,West Virginia,1945061
1984,West Virginia,1927697
1985,West Virginia,1906831
1986,West Virginia,1882350
1987,West Virginia,1857585
1988,West Virginia,1830215
1989,West Virginia,1806568
1990,West Virginia,1792481
1991,West Virginia,1798212
1992,West Virginia,1805462
1993,West Virginia,1816179
1994,West Virginia,1818490
1995,West Virginia,1820560
1996,West Virginia,1818983
1997,West Virginia,1815588
1998,West Virginia,1811688
1999,West Virginia,1806928
2000,West Virginia,1807021
2001,West Virginia,1801481
2002,West Virginia,1805414
2003,West Virginia,1812295
2004,West Virginia,1816438
2005,West Virginia,1820492
2006,West Virginia,1827912
2007,West Virginia,1834052
2008,West Virginia,1840310
2009,West Virginia,1847775
2010,West Virginia,1854239
2011,West Virginia,1856301
2012,West Virginia,1856872
2013,West Virginia,1853914
2014,West Virginia,1849489
2015,West Virginia,1842050
2016,West Virginia,1831023
2017,West Virginia,1817004
2018,West Virginia,1804291
2019,West Virginia,1792147
1900,Wyoming,93000
1901,Wyoming,100000
1902,Wyoming,105000
1903,Wyoming,108000
1904,Wyoming,111000
1905,Wyoming,114000
1906,Wyoming,118000
1907,Wyoming,125000
1908,Wyoming,133000
1909,Wyoming,141000
1910,Wyoming,147000
1911,Wyoming,150000
1912,Wyoming,153000
1913,Wyoming,157000
1914,Wyoming,163000
1915,Wyoming,167000
1916,Wyoming,174000
1917,Wyoming,186000
1918,Wyoming,181000
1919,Wyoming,191000
1920,Wyoming,197000
1921,Wyoming,203000
1922,Wyoming,208000
1923,Wyoming,211000
1924,Wyoming,215000
1925,Wyoming,216000
1926,Wyoming,217000
1927,Wyoming,219000
1928,Wyoming,220000
1929,Wyoming,223000
1930,Wyoming,226000
1931,Wyoming,229000
1932,Wyoming,230000
1933,Wyoming,230000
1934,Wyoming,233000
1935,Wyoming,237000
1936,Wyoming,240000
1937,Wyoming,243000
1938,Wyoming,246000
1939,Wyoming,248000
1940,Wyoming,250000
1941,Wyoming,247000
1942,Wyoming,251000
1943,Wyoming,247000
1944,Wyoming,242000
1945,Wyoming,239000
1946,Wyoming,254000
1947,Wyoming,258000
1948,Wyoming,269000
1949,Wyoming,277000
1950,Wyoming,290000
1951,Wyoming,291000
1952,Wyoming,293000
1953,Wyoming,290000
1954,Wyoming,293000
1955,Wyoming,307000
1956,Wyoming,312000
1957,Wyoming,314000
1958,Wyoming,315000
1959,Wyoming,320000
1960,Wyoming,331000
1961,Wyoming,337000
1962,Wyoming,333000
1963,Wyoming,336000
1964,Wyoming,339000
1965,Wyoming,332000
1966,Wyoming,323000
1967,Wyoming,322000
1968,Wyoming,324000
1969,Wyoming,329000
1970,Wyoming,332416
1971,Wyoming,340285
1972,Wyoming,347345
1973,Wyoming,354061
1974,Wyoming,365501
1975,Wyoming,381695
1976,Wyoming,396952
1977,Wyoming,413354
1978,Wyoming,432880
1979,Wyoming,454378
1980,Wyoming,474185
1981,Wyoming,491712
1982,Wyoming,506400
1983,Wyoming,510345
1984,Wyoming,504896
1985,Wyoming,499695
1986,Wyoming,495633
1987,Wyoming,476965
1988,Wyoming,465101
1989,Wyoming,458374
1990,Wyoming,453401
1991,Wyoming,457739
1992,Wyoming,463491
1993,Wyoming,469033
1994,Wyoming,474982
1995,Wyoming,478447
1996,Wyoming,480085
1997,Wyoming,480031
1998,Wyoming,480045
1999,Wyoming,479602
2000,Wyoming,494300
2001,Wyoming,494657
2002,Wyoming,500017
2003,Wyoming,503453
2004,Wyoming,509106
2005,Wyoming,514157
2006,Wyoming,522667
2007,Wyoming,534876
2008,Wyoming,546043
2009,Wyoming,559851
2010,Wyoming,564487
2011,Wyoming,567299
2012,Wyoming,576305
2013,Wyoming,582122
2014,Wyoming,582531
2015,Wyoming,585613
2016,Wyoming,584215
2017,Wyoming,578931
2018,Wyoming,577601
2019,Wyoming,578759
