1948,58.6
1949,58.7
1950,58.9
1951,59.1
1952,59.5
1953,59.5
1954,58.6
1955,58.6
1956,60.2
1957,59.5
1958,59.3
1959,59.3
1960,59.1
1961,59.6
1962,58.8
1963,58.6
1964,58.6
1965,58.6
1966,59.0
1967,59.5
1968,59.2
1969,59.6
1970,60.4
1971,60.4
1972,60.2
1973,60.0
1974,61.3
1975,61.4
1976,61.3
1977,61.6
1978,62.8
1979,63.6
1980,64.0
1981,63.9
1982,63.7
1983,63.9
1984,63.9
1985,64.7
1986,64.9
1987,65.4
1988,65.8
1989,66.5
1990,66.8
1991,66.2
1992,66.3
1993,66.2
1994,66.6
1995,66.8
1996,66.4
1997,67.0
1998,67.1
1999,67.2
2000,67.3
2001,67.2
2002,66.5
2003,66.4
2004,66.1
2005,65.8
2006,66.0
2007,66.4
2008,66.2
2009,65.7
2010,64.8
2011,64.2
2012,63.7
2013,63.7
2014,62.9
2015,62.9
2016,62.7
2017,62.8
2018,62.7
2019,63.1
2020,63.3
